date,implied_volatility,symbol
20260310,37.53,AP605C10000.CZC
20260310,37.17,AP605C10200.CZC
20260310,37.33,AP605C10400.CZC
20260310,37.92,AP605C10600.CZC
20260310,38.82,AP605C10800.CZC
20260310,39.93,AP605C11000.CZC
20260310,41.17,AP605C11200.CZC
20260310,42.5,AP605C11400.CZC
20260310,43.85,AP605C11600.CZC
20260310,45.22,AP605C11800.CZC
20260310,46.59,AP605C12000.CZC
20260310,47.94,AP605C12200.CZC
20260310,49.26,AP605C12400.CZC
20260310,71.67,AP605C7300.CZC
20260310,70.22,AP605C7400.CZC
20260310,68.78,AP605C7500.CZC
20260310,67.33,AP605C7600.CZC
20260310,65.87,AP605C7700.CZC
20260310,64.41,AP605C7800.CZC
20260310,62.95,AP605C7900.CZC
20260310,61.49,AP605C8000.CZC
20260310,60.02,AP605C8100.CZC
20260310,58.55,AP605C8200.CZC
20260310,57.08,AP605C8300.CZC
20260310,55.61,AP605C8400.CZC
20260310,54.15,AP605C8500.CZC
20260310,52.69,AP605C8600.CZC
20260310,51.24,AP605C8700.CZC
20260310,49.81,AP605C8800.CZC
20260310,48.41,AP605C8900.CZC
20260310,47.03,AP605C9000.CZC
20260310,45.69,AP605C9100.CZC
20260310,44.4,AP605C9200.CZC
20260310,43.17,AP605C9300.CZC
20260310,42.02,AP605C9400.CZC
20260310,40.96,AP605C9500.CZC
20260310,40.01,AP605C9600.CZC
20260310,39.18,AP605C9700.CZC
20260310,38.49,AP605C9800.CZC
20260310,37.94,AP605C9900.CZC
20260310,37.53,AP605P10000.CZC
20260310,37.17,AP605P10200.CZC
20260310,37.33,AP605P10400.CZC
20260310,37.92,AP605P10600.CZC
20260310,38.82,AP605P10800.CZC
20260310,39.93,AP605P11000.CZC
20260310,41.17,AP605P11200.CZC
20260310,42.5,AP605P11400.CZC
20260310,43.85,AP605P11600.CZC
20260310,45.22,AP605P11800.CZC
20260310,46.59,AP605P12000.CZC
20260310,47.94,AP605P12200.CZC
20260310,49.26,AP605P12400.CZC
20260310,71.67,AP605P7300.CZC
20260310,70.22,AP605P7400.CZC
20260310,68.78,AP605P7500.CZC
20260310,67.33,AP605P7600.CZC
20260310,65.87,AP605P7700.CZC
20260310,64.41,AP605P7800.CZC
20260310,62.95,AP605P7900.CZC
20260310,61.49,AP605P8000.CZC
20260310,60.02,AP605P8100.CZC
20260310,58.55,AP605P8200.CZC
20260310,57.08,AP605P8300.CZC
20260310,55.61,AP605P8400.CZC
20260310,54.15,AP605P8500.CZC
20260310,52.69,AP605P8600.CZC
20260310,51.24,AP605P8700.CZC
20260310,49.81,AP605P8800.CZC
20260310,48.41,AP605P8900.CZC
20260310,47.03,AP605P9000.CZC
20260310,45.69,AP605P9100.CZC
20260310,44.4,AP605P9200.CZC
20260310,43.17,AP605P9300.CZC
20260310,42.02,AP605P9400.CZC
20260310,40.96,AP605P9500.CZC
20260310,40.01,AP605P9600.CZC
20260310,39.18,AP605P9700.CZC
20260310,38.49,AP605P9800.CZC
20260310,37.94,AP605P9900.CZC
20260310,24.27,AP610C10000.CZC
20260310,23.59,AP610C7000.CZC
20260310,23.61,AP610C7100.CZC
20260310,23.64,AP610C7200.CZC
20260310,23.67,AP610C7300.CZC
20260310,23.69,AP610C7400.CZC
20260310,23.72,AP610C7500.CZC
20260310,23.74,AP610C7600.CZC
20260310,23.77,AP610C7700.CZC
20260310,23.79,AP610C7800.CZC
20260310,23.82,AP610C7900.CZC
20260310,23.84,AP610C8000.CZC
20260310,23.86,AP610C8100.CZC
20260310,23.89,AP610C8200.CZC
20260310,23.91,AP610C8300.CZC
20260310,23.93,AP610C8400.CZC
20260310,23.95,AP610C8500.CZC
20260310,23.98,AP610C8600.CZC
20260310,24.0,AP610C8700.CZC
20260310,24.02,AP610C8800.CZC
20260310,24.04,AP610C8900.CZC
20260310,24.06,AP610C9000.CZC
20260310,24.09,AP610C9100.CZC
20260310,24.11,AP610C9200.CZC
20260310,24.13,AP610C9300.CZC
20260310,24.15,AP610C9400.CZC
20260310,24.17,AP610C9500.CZC
20260310,24.19,AP610C9600.CZC
20260310,24.21,AP610C9700.CZC
20260310,24.23,AP610C9800.CZC
20260310,24.25,AP610C9900.CZC
20260310,24.27,AP610P10000.CZC
20260310,23.59,AP610P7000.CZC
20260310,23.61,AP610P7100.CZC
20260310,23.64,AP610P7200.CZC
20260310,23.67,AP610P7300.CZC
20260310,23.69,AP610P7400.CZC
20260310,23.72,AP610P7500.CZC
20260310,23.74,AP610P7600.CZC
20260310,23.77,AP610P7700.CZC
20260310,23.79,AP610P7800.CZC
20260310,23.82,AP610P7900.CZC
20260310,23.84,AP610P8000.CZC
20260310,23.86,AP610P8100.CZC
20260310,23.89,AP610P8200.CZC
20260310,23.91,AP610P8300.CZC
20260310,23.93,AP610P8400.CZC
20260310,23.95,AP610P8500.CZC
20260310,23.98,AP610P8600.CZC
20260310,24.0,AP610P8700.CZC
20260310,24.02,AP610P8800.CZC
20260310,24.04,AP610P8900.CZC
20260310,24.06,AP610P9000.CZC
20260310,24.09,AP610P9100.CZC
20260310,24.11,AP610P9200.CZC
20260310,24.13,AP610P9300.CZC
20260310,24.15,AP610P9400.CZC
20260310,24.17,AP610P9500.CZC
20260310,24.19,AP610P9600.CZC
20260310,24.21,AP610P9700.CZC
20260310,24.23,AP610P9800.CZC
20260310,24.25,AP610P9900.CZC
20260310,36.79,CF605C11600.CZC
20260310,35.8,CF605C11800.CZC
20260310,34.79,CF605C12000.CZC
20260310,33.78,CF605C12200.CZC
20260310,32.75,CF605C12400.CZC
20260310,31.71,CF605C12600.CZC
20260310,30.65,CF605C12800.CZC
20260310,29.58,CF605C13000.CZC
20260310,28.5,CF605C13200.CZC
20260310,27.39,CF605C13400.CZC
20260310,26.26,CF605C13600.CZC
20260310,25.12,CF605C13800.CZC
20260310,23.96,CF605C14000.CZC
20260310,22.8,CF605C14200.CZC
20260310,21.65,CF605C14400.CZC
20260310,20.55,CF605C14600.CZC
20260310,19.59,CF605C14800.CZC
20260310,18.95,CF605C15000.CZC
20260310,18.91,CF605C15200.CZC
20260310,19.74,CF605C15400.CZC
20260310,21.28,CF605C15600.CZC
20260310,23.14,CF605C15800.CZC
20260310,25.07,CF605C16000.CZC
20260310,26.94,CF605C16200.CZC
20260310,28.73,CF605C16400.CZC
20260310,30.44,CF605C16600.CZC
20260310,32.05,CF605C16800.CZC
20260310,33.58,CF605C17000.CZC
20260310,36.79,CF605P11600.CZC
20260310,35.8,CF605P11800.CZC
20260310,34.79,CF605P12000.CZC
20260310,33.78,CF605P12200.CZC
20260310,32.75,CF605P12400.CZC
20260310,31.71,CF605P12600.CZC
20260310,30.65,CF605P12800.CZC
20260310,29.58,CF605P13000.CZC
20260310,28.5,CF605P13200.CZC
20260310,27.39,CF605P13400.CZC
20260310,26.26,CF605P13600.CZC
20260310,25.12,CF605P13800.CZC
20260310,23.96,CF605P14000.CZC
20260310,22.8,CF605P14200.CZC
20260310,21.65,CF605P14400.CZC
20260310,20.55,CF605P14600.CZC
20260310,19.59,CF605P14800.CZC
20260310,18.95,CF605P15000.CZC
20260310,18.91,CF605P15200.CZC
20260310,19.74,CF605P15400.CZC
20260310,21.28,CF605P15600.CZC
20260310,23.14,CF605P15800.CZC
20260310,25.07,CF605P16000.CZC
20260310,26.94,CF605P16200.CZC
20260310,28.73,CF605P16400.CZC
20260310,30.44,CF605P16600.CZC
20260310,32.05,CF605P16800.CZC
20260310,33.58,CF605P17000.CZC
20260310,17.37,CF607C12600.CZC
20260310,17.07,CF607C12800.CZC
